year,ncessch,school_name,state_name,lea_name,zip_location,urban_centric_locale,school_level,school_type,charter,enrollment,read_test_num_valid,read_test_pct_prof_low,read_test_pct_prof_high,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_low,math_test_pct_prof_high,math_test_pct_prof_midpt,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,transfers_alt_sch_disc,days_suspended,suspensions_instances_preschool,suspensions_instances,corpinstances_preschool,corpinstances,salaries_teachers,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt,allegations_harass_sex,allegations_harass_race,allegations_harass_disability,allegations_harass_orientation,allegations_harass_religion,students_disc_harass_dis,students_disc_harass_race,students_disc_harass_sex,students_report_harass_dis,students_report_harass_race,students_report_harass_sex,enrl_biology,enrl_chemistry,enrl_advanced_math,enrl_calculus,enrl_algebra2,enrl_physics,enrl_geometry,instances_mech_restraint,instances_phys_restraint,instances_seclusion,students_mech_restraint,students_phys_restraint,students_seclusion,students_SAT_ACT
2015,300531000156,Butte High School,Montana,Butte H S,59701,"Town, remote",High,Regular school,Not applicable,1199,2,Suppressed data,Suppressed data,Suppressed data,2,Suppressed data,Suppressed data,Suppressed data,215,54,6,0,0,0,Missing/not reported,0,2,0,255,-2,56,-1,-1,4536801,320,82,82,82,3,0,0,0,0,0,0,2,0,0,0,285,173,95,41,240,48,242,0,0,0,0,0,0,224
2015,300561000162,Carter County High School,Montana,Carter County H S,59324,"Rural, remote",High,Regular school,Not applicable,34,,,,,,,,,2,2,0,0,0,0,Missing/not reported,0,0,0,2,-2,0,-1,-1,533005,13,100,50,75,0,0,0,0,0,0,0,0,0,0,0,19,,4,4,7,7,7,0,0,0,0,0,0,10
2015,300591000170,Cascade High School,Montana,Cascade H S,59421,"Rural, distant",High,Regular school,Not applicable,97,,,,,,,,,4,2,2,0,0,0,Missing/not reported,0,2,0,7,-2,6,-1,-1,559572,21,100,80,90,0,0,0,0,0,0,0,0,0,0,0,19,4,4,2,19,,34,0,0,0,0,0,0,28
2015,300611000175,St Ignatius High School,Montana,St Ignatius K-12 Schools,59865,"Rural, distant",High,Regular school,Not applicable,139,1,Suppressed data,Suppressed data,Suppressed data,1,Suppressed data,Suppressed data,Suppressed data,6,8,0,0,0,0,Missing/not reported,10,10,0,9,-2,19,-1,-1,641670,28,100,80,90,2,0,0,0,0,0,0,8,0,0,2,38,10,17,14,22,8,29,0,0,0,0,0,0,33
2015,300611500177,Charlo High School,Montana,Charlo H S,59824,"Rural, remote",High,Regular school,Not applicable,90,,,,,,,,,4,0,0,0,0,0,Missing/not reported,0,2,0,0,-2,0,-1,-1,434638,26,100,80,90,0,0,0,0,0,0,0,0,0,0,0,20,14,10,9,14,9,26,0,0,0,0,0,0,17
2015,300627000182,Chinook High School,Montana,Chinook H S,59523,"Rural, remote",High,Regular school,Not applicable,117,,,,,,,,,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,0,-1,-1,529554,34,79,70,74,0,0,0,0,0,0,0,0,0,0,0,26,13,4,4,21,4,21,0,0,0,0,0,0,59
2015,300633000184,Choteau High School,Montana,Choteau H S,59422,"Rural, remote",High,Regular school,Not applicable,112,,,,,,,,,0,4,0,0,0,0,Missing/not reported,0,2,0,14,-2,2,-1,-1,352657,33,100,90,95,0,0,0,0,0,0,0,0,0,0,0,14,49,25,4,28,10,23,0,0,0,0,0,0,33
2015,300681000187,Circle High School,Montana,Circle H S,59215,"Rural, remote",High,Regular school,Not applicable,73,,,,,,,,,0,4,0,0,0,0,Missing/not reported,0,0,0,2,-2,1,-1,-1,301750,16,100,80,90,0,0,0,0,0,0,0,0,0,0,0,22,,,4,10,14,32,0,0,0,0,0,0,34
2015,300708000194,Colstrip High School,Montana,Colstrip H S,59323,"Rural, remote",High,Regular school,Not applicable,204,1,Suppressed data,Suppressed data,Suppressed data,1,Suppressed data,Suppressed data,Suppressed data,0,0,0,0,0,0,Missing/not reported,0,0,0,0,-2,1,-1,-1,1143102,57,100,90,95,0,0,0,0,0,0,0,0,0,0,0,60,31,79,23,70,13,58,0,0,0,0,0,0,28
2015,300714000203,Columbia Falls High Schl,Montana,Columbia Falls H S,59912,"Town, remote",High,Regular school,Not applicable,638,,,,,,,,,0,45,4,2,0,2,Missing/not reported,2,2,0,128,-2,48,-1,-1,2016924,147,89,85,87,10,13,0,0,0,0,12,10,0,12,10,200,113,49,,107,11,136,0,0,0,0,0,0,167
2015,300720000205,Columbus High School,Montana,Columbus H S,59019,"Rural, remote",High,Regular school,Not applicable,208,,,,,,,,,20,8,0,2,0,0,Missing/not reported,2,12,0,17,-2,6,-1,-1,922824,57,89,80,84,2,0,0,0,0,0,0,2,0,0,4,54,23,12,7,37,8,52,0,0,0,0,0,0,56
2015,300732000210,Conrad High School,Montana,Conrad H S,59425,"Town, remote",High,Regular school,Not applicable,165,,,,,,,,,7,16,4,0,0,0,Missing/not reported,0,0,0,25,-2,17,-1,-1,584448,44,89,80,84,0,0,0,0,0,0,0,0,0,0,0,42,13,13,2,30,2,35,0,0,0,0,0,0,16
