year,leaid,lea_name,state_name,state_leaid,city_location,urban_centric_locale,agency_type,enrollment,english_language_learners,est_population_total,est_population_5_17_poverty,est_population_5_17_poverty_pct,rev_total,rev_fed_total,rev_state_total,rev_local_total,rev_local_prop_tax,exp_total,exp_current_elsec_total,exp_current_instruction_total,exp_current_supp_serve_total,exp_current_pupils,exp_current_instruc_staff,exp_current_general_admin,exp_current_sch_admin,exp_current_operation_plant,exp_current_student_transport,exp_current_bco,exp_current_supp_serv_nonspec,exp_current_other,exp_current_food_serv,exp_current_enterprise,exp_current_other_elsec,exp_nonelsec,exp_nonelsec_community_serv,exp_nonelsec_adult_education,exp_nonelsec_other,exp_textbooks,exp_utilities_energy,exp_tech_supplies_services,exp_tech_equipment,outlay_capital_total,outlay_capital_construction,outlay_capital_land_structures,outlay_capital_instruc_equip,outlay_capital_other_equip,outlay_capital_nonspec_equip,salaries_total,salaries_instruction,benefits_employee_total,cohort_num,grad_rate_high,grad_rate_low,grad_rate_midpt
2015,3904610,Fairfield City,Ohio,46102,Fairfield,"Suburb, large",Regular local school district,9884,688,66211,1467,0.124438,106314000,4997000,42944000,58373000,51406000,96618000,76936000,48272000,25510000,3261000,2057000,2022000,6087000,5094000,5339000,1650000,0,3154000,3154000,0,0,953000,953000,0,0,511000,1217000,1764000,0,11528000,9793000,0,329000,767000,639000,48070000,34104000,16105000,781,93,93,93
2015,3904611,Lakota Local,Ohio,46110,Liberty Township,"Suburb, large",Regular local school district,15937,930,95924,1933,0.09136,187497000,7331000,62202000,117964000,106150000,181849000,159717000,92935000,61688000,10136000,4145000,3377000,9556000,12417000,15151000,6906000,0,5094000,5094000,0,0,503000,503000,0,0,1172000,2395000,2117000,3505000,12765000,8484000,0,3559000,722000,0,90613000,62583000,31527000,1271,94,94,94
2015,3904612,Madison Local,Ohio,46128,Middletown,"Rural, fringe",Regular local school district,1543,3,8374,211,0.138633,17558000,1061000,8497000,8000000,5446000,15503000,14272000,8305000,5379000,884000,349000,490000,588000,1371000,1208000,489000,0,588000,588000,0,0,7000,7000,0,0,11000,436000,432000,0,429000,278000,0,109000,14000,28000,7241000,5521000,2590000,120,94,90,92
2015,3904613,New Miami Local,Ohio,46136,Hamilton,"Suburb, large",Regular local school district,687,3,4125,195,0.280172,9827000,1379000,6623000,1825000,1064000,9271000,8306000,4862000,2931000,350000,178000,427000,769000,929000,23000,255000,0,513000,513000,0,0,3000,3000,0,0,0,183000,406000,0,301000,36000,0,227000,38000,0,3936000,2997000,1365000,61,79,75,77
2015,3904614,Ross Local,Ohio,46144,Hamilton,"Rural, fringe",Regular local school district,2774,3,16378,296,0.09314,27239000,904000,12103000,14232000,9553000,26304000,23601000,15034000,7630000,1043000,490000,560000,1240000,2102000,1545000,650000,0,937000,937000,0,0,193000,193000,0,0,131000,745000,540000,1000,916000,320000,0,39000,472000,85000,13671000,9850000,5439000,215,98,98,98
2015,3904615,Talawanda City,Ohio,46151,Oxford,"Rural, fringe",Regular local school district,2949,48,36289,464,0.133988,45018000,1583000,14349000,29086000,19270000,44839000,33460000,20265000,12135000,1843000,1035000,698000,1693000,2958000,2398000,1510000,0,1060000,1060000,0,0,25000,25000,0,0,27000,740000,984000,940000,9082000,7938000,0,970000,174000,0,18486000,13884000,6477000,250,91,91,91
2015,3904617,Brown Local,Ohio,46177,Malvern,"Town, fringe",Regular local school district,629,Missing/not reported,5132,132,0.170323,12789000,849000,6792000,5148000,4263000,24107000,6504000,3773000,2436000,272000,206000,504000,404000,516000,350000,184000,0,295000,295000,0,0,1000,0,1000,0,11000,115000,267000,20000,16655000,16603000,0,28000,14000,10000,3370000,2435000,1438000,48,100,90,95
2015,3904619,Graham Local,Ohio,46193,Saint Paris,"Rural, distant",Regular local school district,2003,Missing/not reported,11634,236,0.11028,21037000,1143000,11189000,8705000,6508000,20511000,17803000,10026000,7064000,1187000,700000,532000,891000,1652000,1289000,813000,0,713000,713000,0,0,6000,0,6000,0,165000,379000,511000,0,676000,288000,0,17000,371000,0,10068000,6762000,3650000,152,94,90,92
2015,3904620,Triad Local,Ohio,46201,North Lewisburg,"Rural, distant",Regular local school district,859,Missing/not reported,5253,121,0.12247,11583000,606000,5518000,5459000,2452000,10541000,9160000,4969000,3757000,521000,252000,370000,554000,959000,501000,600000,0,434000,434000,0,0,0,0,0,0,6000,262000,418000,0,108000,0,0,0,108000,0,4734000,3002000,1685000,62,94,90,92
2015,3904621,West Liberty-Salem Local,Ohio,46219,West Liberty,"Rural, distant",Regular local school district,1203,Missing/not reported,5874,118,0.104056,24555000,541000,15781000,8233000,3094000,29264000,12530000,8257000,3859000,495000,382000,305000,530000,1017000,590000,540000,0,414000,414000,0,0,4000,4000,0,0,3000,172000,602000,0,16173000,15857000,0,167000,149000,0,6113000,4366000,2545000,82,100,95,97
2015,3904622,Clark County ESC,Ohio,46227,Springfield,"City, small",Regional education service agency,0,0,,,,5094000,0,673000,4421000,Not applicable,4877000,4870000,946000,3924000,2471000,549000,479000,4000,135000,0,286000,0,0,0,0,0,0,0,0,0,1000,20000,161000,1000,7000,0,0,0,7000,0,3369000,693000,989000,,,,
2015,3904623,Greenon Local,Ohio,46235,Enon,"Suburb, large",Regular local school district,1569,7,12044,239,0.12269,18285000,1035000,7178000,10072000,8285000,17807000,15319000,9330000,5286000,852000,252000,451000,910000,1109000,924000,788000,0,703000,703000,0,0,0,0,0,0,40000,234000,167000,0,1086000,376000,0,270000,440000,0,9290000,6437000,3310000,121,94,90,92
2015,3904624,Tecumseh Local,Ohio,46243,New Carlisle,"Rural, fringe",Regular local school district,2980,263,18700,633,0.194351,35249000,3118000,20328000,11803000,9043000,33320000,29516000,17623000,10516000,1994000,828000,1068000,1556000,3011000,1403000,656000,0,1377000,1377000,0,0,27000,27000,0,0,18000,677000,676000,245000,1822000,745000,0,271000,156000,650000,17127000,11548000,7067000,254,88,88,88
2015,3904625,Northeastern Local,Ohio,46250,Springfield,"Suburb, small",Regular local school district,3369,7,22392,335,0.089668,32021000,1436000,14943000,15642000,11788000,31236000,29447000,18072000,10497000,1839000,1311000,671000,1802000,2227000,1840000,807000,0,878000,878000,0,0,305000,305000,0,0,361000,543000,657000,0,488000,9000,0,255000,224000,0,18728000,12375000,6647000,288,95,95,95
2015,3904626,Northwestern Local,Ohio,46268,Springfield,"Rural, fringe",Regular local school district,1747,Missing/not reported,10643,255,0.139803,23119000,2244000,7963000,12912000,7151000,20637000,16702000,10467000,5679000,935000,661000,413000,804000,1324000,993000,549000,0,556000,556000,0,0,1000,1000,0,0,104000,369000,520000,138000,2738000,2350000,0,104000,261000,23000,9530000,6352000,3655000,148,100,95,97
2015,3904627,Southeastern Local,Ohio,46276,South Charleston,"Rural, distant",Regular local school district,706,Missing/not reported,4197,132,0.171652,9503000,491000,4138000,4874000,2903000,8618000,8012000,5369000,2371000,384000,225000,213000,364000,514000,351000,320000,0,272000,272000,0,0,0,0,0,0,29000,70000,150000,0,356000,22000,0,210000,105000,19000,4896000,3579000,1739000,54,100,90,95
2015,3904628,Clark-Shawnee Local,Ohio,46284,Springfield,"Rural, fringe",Regular local school district,1966,8,11912,306,0.144886,23717000,1288000,8109000,14320000,10791000,20885000,19443000,12262000,6361000,964000,457000,733000,966000,1683000,968000,590000,0,820000,820000,0,0,0,0,0,0,7000,354000,485000,0,309000,18000,0,120000,171000,0,11687000,8385000,4770000,192,100,95,97
2015,3904629,Clermont County ESC,Ohio,46292,Batavia,"Rural, fringe",Regional education service agency,0,0,,,,17037000,34000,815000,16188000,Not applicable,16780000,16730000,6124000,10549000,8717000,895000,485000,158000,0,0,294000,0,57000,57000,0,0,3000,3000,0,0,0,0,38000,0,47000,0,0,41000,6000,0,10807000,3749000,4313000,,,,
2015,3904630,Batavia Local,Ohio,46300,Batavia,"Suburb, large",Regular local school district,2244,12,11665,391,0.178051,29440000,2278000,11999000,15163000,8316000,38175000,20649000,14097000,5834000,393000,142000,597000,1155000,1241000,1518000,788000,0,718000,718000,0,0,0,0,0,0,16000,326000,527000,11000,13674000,13425000,0,139000,46000,64000,10350000,7702000,4331000,136,100,95,97
2015,3904631,Bethel-Tate Local,Ohio,46318,Bethel,"Town, fringe",Regular local school district,1604,Missing/not reported,9723,252,0.138843,16725000,971000,9760000,5994000,3568000,17308000,15048000,9459000,4838000,913000,235000,429000,829000,1242000,772000,418000,0,751000,751000,0,0,8000,8000,0,0,7000,319000,322000,86000,302000,48000,0,109000,125000,20000,8264000,5751000,3123000,101,94,90,92
2015,3904632,Clermont Northeastern Local,Ohio,46326,Batavia,"Rural, fringe",Regular local school district,1460,Missing/not reported,12969,243,0.115111,19351000,971000,6838000,11542000,6529000,17618000,15557000,8690000,6059000,613000,111000,490000,806000,1100000,2050000,889000,0,808000,808000,0,0,171000,171000,0,0,53000,222000,26000,0,915000,127000,0,58000,730000,0,7859000,5502000,2775000,132,89,85,87
2015,3904633,Felicity-Franklin Local,Ohio,46334,Felicity,"Rural, distant",Regular local school district,840,Missing/not reported,5742,167,0.153071,11642000,977000,7880000,2785000,1860000,9921000,9426000,5770000,3186000,240000,348000,293000,482000,925000,549000,349000,0,470000,470000,0,0,0,0,0,0,186000,255000,186000,32000,110000,7000,0,15000,88000,0,5540000,3753000,2237000,81,89,85,87
2015,3904634,Goshen Local,Ohio,46342,Goshen,"Rural, fringe",Regular local school district,2673,13,16149,450,0.156794,31709000,2150000,16684000,12875000,6300000,33608000,29106000,17268000,10771000,2178000,867000,822000,1360000,2053000,2656000,835000,0,1067000,1067000,0,0,37000,37000,0,0,154000,434000,415000,0,3363000,2972000,0,98000,293000,0,14012000,10217000,5016000,170,100,95,97
2015,3904635,West Clermont Local,Ohio,46359,Cincinnati,"Suburb, large",Regular local school district,8027,125,69856,1269,0.113031,82894000,4666000,32246000,45982000,42588000,97074000,65962000,39361000,24553000,4831000,1475000,1742000,3425000,5062000,6043000,1975000,0,2048000,2041000,7000,0,74000,74000,0,0,231000,1007000,623000,0,21658000,20663000,0,383000,599000,13000,34966000,25988000,14249000,614,93,93,93
2015,3904636,Williamsburg Local,Ohio,46367,Williamsburg,"Suburb, large",Regular local school district,968,3,6538,242,0.213028,12022000,800000,5553000,5669000,3718000,11253000,9472000,6294000,2728000,172000,53000,283000,488000,722000,495000,515000,0,450000,450000,0,0,1000,1000,0,0,41000,198000,261000,125000,520000,271000,0,119000,89000,41000,5121000,3659000,1877000,88,94,90,92
